"long","lat","NAME"
121.46062113,31.1142136850001,"徐汇区"
121.45982045,31.1127288150001,"徐汇区"
121.458059475,31.1087526400001,"徐汇区"
121.45809331,31.10665916,"徐汇区"
121.45846679,31.1038417850001,"徐汇区"
121.4506888,31.1026658050001,"徐汇区"
121.44794094,31.103123175,"徐汇区"
121.442560665,31.1077911650001,"徐汇区"
121.44232893,31.1084147150001,"徐汇区"
121.442923595,31.1092736950001,"徐汇区"
121.44622168,31.1096783400001,"徐汇区"
121.446469585,31.1119863550001,"徐汇区"
121.446946275,31.1168665000001,"徐汇区"
121.4460892675,31.1173437150001,"徐汇区"
121.445933075,31.1173399250001,"徐汇区"
121.44103295,31.11689348,"徐汇区"
121.439357205,31.1159921450001,"徐汇区"
121.439061915,31.1158013500001,"徐汇区"
