station_id,lng,lat,district
C0252,121.2352,31.007,松江区
C0253,121.2222,31.017,松江区
C0254,121.0042,30.888,Unknown
C0255,121.0842,30.876,金山区
C0256,121.1592,30.902,金山区
C0257,121.2442,30.892,金山区
C0258,121.3082,30.892,金山区
C0259,121.3382,30.86,金山区
C0260,121.1792,30.832,金山区
C0261,121.1912,30.792,金山区
C0262,121.2882,30.813,金山区
C0263,121.4172,30.7983,金山区
C0264,121.3582,30.7623,金山区
C0265,121.3142,30.727,金山区
C0266,121.3382,30.713,金山区
C0267,121.4732,30.8303,奉贤区
C0268,121.4282,30.8643,奉贤区
C0269,121.3932,30.9043,奉贤区
C0270,121.4202,30.9663,奉贤区
C0271,121.4972,30.9873,奉贤区
C0272,121.6036,30.9778,奉贤区
C0273,121.5816,30.9278,奉贤区
C0274,121.6526,30.9808,奉贤区
C0275,121.6456,30.9128,奉贤区
C0276,121.7226,30.9068,奉贤区
C0277,121.5082,30.9113,奉贤区
C0278,121.4582,30.9033,奉贤区
C0279,121.4552,30.9183,奉贤区
C0280,121.8476,30.8828,浦东新区
C0281,121.7916,30.9088,浦东新区
C0282,121.8706,30.9858,浦东新区
C0283,121.8616,30.9258,浦东新区
C0284,121.7276,30.9818,浦东新区
C0285,121.8436,31.0178,浦东新区
C0286,121.7826,31.0248,浦东新区
C0287,121.6786,31.0348,浦东新区
C0288,121.5956,31.0368,浦东新区
C0289,121.5786,31.1218,浦东新区
C0290,121.6226,31.1468,浦东新区
C0291,121.6446,31.1158,浦东新区
C0292,121.7086,31.0748,浦东新区
C0293,121.7526,31.0928,浦东新区
C0294,121.7456,31.0518,浦东新区
C0295,121.7596,31.0478,浦东新区
C0296,121.7476,31.1388,浦东新区
C0297,121.7496,31.1918,浦东新区
C0298,121.6696,31.1668,浦东新区
C0299,121.7236,31.2378,浦东新区
C0300,121.6846,31.2348,浦东新区
C0301,121.6426,31.2278,浦东新区
C0302,121.6626,31.2838,浦东新区
C0303,121.6796,31.2028,浦东新区
C0304,121.6956,31.1958,浦东新区
C0305,121.4542,31.1093,徐汇区
C0306,121.4072,31.0783,闵行区
C0307,121.5132,31.1013,闵行区
C0308,121.4702,31.0433,闵行区
C0309,121.5406,31.0728,闵行区
C0310,121.4202,31.0153,闵行区
C0311,121.3822,31.0013,闵行区
C0312,121.3882,31.0393,闵行区
C0313,121.5176,31.1448,浦东新区
C0314,121.4962,31.1663,浦东新区
C0315,121.4702,31.1433,浦东新区
C0316,121.5536,31.1488,浦东新区
C0317,121.5316,31.1598,浦东新区
C0318,121.5356,31.1738,浦东新区
C0319,121.5586,31.1668,浦东新区
C0320,121.5886,31.1738,浦东新区
C0321,121.6136,31.1838,浦东新区
C0322,121.6066,31.2688,浦东新区
C0323,121.5826,31.2768,浦东新区
C0324,121.6046,31.2968,浦东新区
C0325,121.6066,31.3198,浦东新区
C0326,121.3442,31.323,嘉定区
C0327,121.4532,31.2523,静安区
C0328,121.4572,31.2463,静安区
C0329,121.4672,31.2423,静安区
C0330,121.4732,31.2363,黄浦区
